role,nodeKey,appearances,averageScore,averageDeltaScore,overpoweredBuildRate,underpoweredBuildRate
dps,dps_s1_s1_AOE_CD3,69,38.72761339469305,-2.9837687725129047,0,0.2028985507246377
dps,dps_s1_s2_BURST,127,32.63255823977105,-9.078823927434907,0,0.6220472440944882
dps,dps_s1_s3_MORE_DAMAGE,104,32.41822214798349,-9.293160019222471,0,0.6442307692307693
dps,dps_s2_mode_passive,194,37.46100525473329,-4.25037691247266,0,0.3247422680412371
dps,dps_s2_pas_ATB_ON_HIT,83,36.85679794843299,-4.854584218772952,0,0.3493975903614458
dps,dps_s1_s1_SINGLE_TARGET_HP_PERCENT_CD3,101,31.951511007176162,-9.759871160029803,0,0.7128712871287128
dps,dps_s1_s2_TEMPO,128,39.87185661379063,-1.8395255534153014,0,0.1640625
dps,dps_s1_s3_EXTRA_SLOW_DURATION,70,36.463134161577216,-5.248248005628734,0,0.3
dps,dps_s2_mode_active,206,34.99430244176397,-6.717079725441969,0,0.4223300970873786
dps,dps_s2_act_ATK_BUFF,75,33.06644432254593,-8.644937844660028,0,0.4666666666666667
dps,dps_s2_act_ATB_UP,58,41.57174029668866,-0.13964187051729532,0,0.06896551724137931
dps,dps_s1_s1_AOE_HP_PERCENT_CD4,74,39.29454625912368,-2.4168359080822723,0,0.0945945945945946
dps,dps_s1_s1_SINGLE_TARGET_CD2,82,32.475767186845694,-9.23561498036026,0,0.6097560975609756
dps,dps_s1_s3_CD_REDUCTION,23,33.60173013307134,-8.109652034134614,0,0.5217391304347826
dps,dps_s2_pas_LIFESTEAL,29,30.19564551878022,-11.51573664842573,0,0.9310344827586207
dps,dps_s1_s3_SELF_ATB_UP,58,43.985831987151684,2.274449819945736,0,0
dps,dps_s1_s2_DEBUFF,145,36.05743985796907,-5.653942309236892,0,0.3448275862068966
dps,dps_s1_s3_EXTRA_DURATION,77,35.86414716406281,-5.847235003143162,0,0.36363636363636365
dps,dps_s2_act_SPEED_BUFF,73,31.74906906307527,-9.962313104130692,0,0.6575342465753424
dps,dps_s1_s3_IGNORE_RESIST,68,36.27631540842174,-5.4350667587842105,0,0.3235294117647059
dps,dps_s2_pas_ATB_ON_KILL,82,40.64203743480116,-1.069344732404809,0,0.08536585365853659
dps,dps_s1_s1_DOT_CD3,74,40.62356829684498,-1.0878138703609597,0,0.0945945945945946
tank,tank_s1_s1_SHIELD,92,43.3778986712245,5.894760780901925,0.29347826086956524,0
tank,tank_s1_s2_PURE_TANK,127,44.037403963799456,6.554266073476898,0.41732283464566927,0
tank,tank_s1_s3_BONUS_DEF,73,44.064654627751445,6.581516737428862,0.4383561643835616,0
tank,tank_s1_s4_LIGHT_REVIVE,130,50.07963121818989,12.596493327867336,0.7538461538461538,0
tank,tank_s2_mode_active,203,46.838668701331635,9.35553081100905,0.541871921182266,0
tank,tank_s2_act_AOE_HEAL,53,53.1859112466595,15.70277335633693,0.7547169811320755,0
tank,tank_s1_s2_SUSTAIN,136,47.61655486944412,10.13341697912153,0.5588235294117647,0
tank,tank_s1_s3_ALLY_HEAL,32,48.89283805404835,11.409700163725768,0.625,0
tank,tank_s1_s4_MASSIVE_AOE_SHIELD,130,45.28593680789317,7.802798917570561,0.49230769230769234,0
tank,tank_s1_s1_REGEN,118,43.00025411889834,5.517116228575771,0.2457627118644068,0
tank,tank_s1_s2_CONTROL,137,49.91463649553465,12.431498605212086,0.7591240875912408,0
tank,tank_s1_s3_AOE_SILENCE_1T,40,48.98080825151023,11.497670361187657,0.725,0
tank,tank_s1_s4_BIG_DAMAGE_REDUCTION_1T,140,46.49559372960273,9.012455839280163,0.5071428571428571,0
tank,tank_s2_act_CLEANSE,59,44.06469318104048,6.581555290717895,0.4067796610169492,0
tank,tank_s2_act_ANTI_BUFF,43,44.108693667062376,6.625555776739789,0.4418604651162791,0
tank,tank_s1_s1_AOE_CONTROL,84,53.73021599764777,16.247078107325187,0.9880952380952381,0
tank,tank_s1_s3_SHIELD_HP_SCALING,54,44.000565103271825,6.517427212949239,0.3888888888888889,0
tank,tank_s2_mode_passive,197,47.708919894237866,10.225782003915294,0.6243654822335025,0
tank,tank_s2_pas_ATB_ON_ALLY_DEATH,106,48.68240404218006,11.199266151857497,0.7358490566037735,0
tank,tank_s2_pas_ATB_ON_RECEIVE_DAMAGE,91,46.5749713263052,9.091833435982627,0.4945054945054945,0
tank,tank_s1_s1_PROVOKE,106,50.271435452359526,12.788297562036936,0.8867924528301887,0
tank,tank_s1_s3_AOE_SLOW,51,49.868101633007285,12.384963742684713,0.7647058823529411,0
tank,tank_s1_s3_AOE_PROVOKE,46,50.77825405531453,13.295116164991938,0.782608695652174,0
tank,tank_s1_s3_HEAL_ON_HIT,54,48.448088714341104,10.964950824018528,0.5925925925925926,0
tank,tank_s2_act_ALLY_SHIELD,48,45.6855359360895,8.202398045766913,0.5625,0
tank,tank_s1_s3_REGEN_PERCENT,50,45.90167707880866,8.418539188486069,0.48,0
support,support_s1_s1_HEAL_SINGLE,100,58.09972207068177,18.08060022817546,0.97,0
support,support_s1_s2_SUSTAIN,153,58.661610613764815,18.642488771258517,1,0
support,support_s1_s3_STRONGER_AOE_HEAL,75,59.58097577818619,19.56185393567988,1,0
support,support_s1_s4_DOUBLE_BUFF,95,51.67540332181232,11.656281479305969,0.6421052631578947,0
support,support_s2_mode_active,225,53.31666443208901,13.297542589582731,0.6844444444444444,0
support,support_s2_act_CLEANSE,69,50.54621012452245,10.527088282016111,0.5507246376811594,0
support,support_s1_s3_STRONGER_SINGLE_HEAL,78,57.77760564797505,17.758483805468725,1,0
support,support_s1_s4_ALLY_CD_MINUS_1,110,53.12277003696731,13.103648194460966,0.7090909090909091,0
support,support_s2_mode_passive,175,52.682359089684105,12.66323724717777,0.72,0
support,support_s2_pas_DEBUFF_RESIST_AURA,51,53.577833198493096,13.558711355986775,0.7058823529411765,0
support,support_s1_s1_CONTROL,112,49.62288160911422,9.603759766607904,0.5267857142857143,0
support,support_s1_s2_BUFF,124,49.143825871010755,9.12470402850441,0.4596774193548387,0
support,support_s1_s3_BUFF_EXTRA_AREA,42,50.944209232509714,10.925087390003398,0.5714285714285714,0
support,support_s1_s4_AOE_IMMUNITY,111,52.89005496983962,12.87093312733334,0.6486486486486487,0
support,support_s1_s1_ATB_BOOST,96,52.66291452440418,12.643792681897859,0.65625,0
support,support_s1_s3_BUFF_BONUS_EFFECT,39,47.82386512812695,7.8047432856206225,0.38461538461538464,0
support,support_s2_pas_PASSIVE_ATB_GAIN,43,50.069607334446076,10.050485491939734,0.6046511627906976,0
support,support_s1_s2_CONTROL_BR,123,49.9723699675073,9.953248125001004,0.5691056910569106,0
support,support_s1_s3_EXTRA_CHANCE,37,50.204607998125034,10.185486155618708,0.5945945945945946,0
support,support_s1_s4_FULL_CLEANSE,84,54.66902638838072,14.649904545874378,0.8214285714285714,0
support,support_s2_act_HEAL,65,60.00568676848505,19.986564925978723,1,0
support,support_s1_s1_HEAL_AOE,92,52.09008256829323,12.070960725786916,0.6630434782608695,0
support,support_s2_pas_HEAL_AURA,40,54.78280911299582,14.763687270489493,0.925,0
support,support_s2_pas_SPEED_AURA,41,52.25946018708674,12.240338344580419,0.6585365853658537,0
support,support_s2_act_BUFF,39,53.04115476298284,13.022032920476526,0.6666666666666666,0
support,support_s1_s3_BUFF_EXTRA_DURATION,43,48.582485587045845,8.563363744539528,0.4186046511627907,0
support,support_s1_s3_MULTI_TARGET,43,50.946355451197455,10.92723360869111,0.6744186046511628,0
support,support_s2_act_SHIELD,52,48.83819851769473,8.819076675188413,0.4807692307692308,0
support,support_s1_s3_EXTRA_DURATION,43,48.79855175979735,8.779429917291022,0.4418604651162791,0
assassin,assassin_s1_s1_MONO_BURST,128,39.40913247851414,0.7694107378888096,0.078125,0.0234375
assassin,assassin_s1_s2_SURVIVE,130,39.752314969446,1.1125932288206701,0.06153846153846154,0.007692307692307693
assassin,assassin_s1_s3_BONUS_DEF,41,39.15683312796998,0.5171113873446492,0,0.024390243902439025
assassin,assassin_s1_s4_BONUS_ATB,129,38.82866375993468,0.18894201930933724,0.08527131782945736,0.023255813953488372
assassin,assassin_s2_mode_passive,198,36.22137279279108,-2.418348947834265,0,0.020202020202020204
assassin,assassin_s2_pas_CD_REDUCTION,71,36.42320656723994,-2.216515173385379,0,0.014084507042253521
assassin,assassin_s1_s1_HIT_PLUS_SPEED,134,39.60964283061689,0.9699210899915536,0.07462686567164178,0.007462686567164179
assassin,assassin_s1_s4_BIG_ATB_GAIN,137,41.36998545463653,2.730263714011184,0.0948905109489051,0
assassin,assassin_s2_pas_BONUS_SPEED,59,35.14469772085204,-3.4950240197732856,0,0.05084745762711865
assassin,assassin_s1_s2_CONTROL,136,39.26766162960084,0.6279398889754921,0,0
assassin,assassin_s1_s3_STUN,36,37.871471654705594,-0.7682500859197301,0,0
assassin,assassin_s2_mode_active,202,43.125286563752546,4.485564823127193,0.14356435643564355,0
assassin,assassin_s2_act_DAMAGE,47,40.57636806877823,1.9366463281529027,0,0
assassin,assassin_s1_s4_RESET_CD_ON_KILL,134,38.854881093536335,0.21515935291098423,0.03731343283582089,0.007462686567164179
assassin,assassin_s2_pas_BONUS_ATB,68,36.944808546593,-1.694913194032335,0,0
assassin,assassin_s1_s3_SILENCE,51,39.88337588718208,1.243654146556759,0,0
assassin,assassin_s2_act_TANK,50,44.045278399639194,5.40555665901387,0.18,0
assassin,assassin_s1_s2_BURST,134,40.111468441768274,1.4717467011429446,0.15671641791044777,0.022388059701492536
