Nom,Rareté,Élément,DAMAGE,HEAL,STRIP,CLEANSE,REDUCE_ATB,ATB_UP,RESURRECT,STEAL_STAT,RESET_SKILL_COOLDOWN,SET_SKILL_COOLDOWN_MAX,BUFF_ANTI_BUFF,BUFF_ANTI_HEAL,BUFF_ANTI_SHIELD,BUFF_ATK_DOWN,BUFF_ATK_UP,BUFF_BLIND,BUFF_DEF_DOWN,BUFF_DEF_UP,BUFF_DEFEND,BUFF_DOT,BUFF_IMMUNITY,BUFF_INVINCIBILITY,BUFF_LIFESTEAL,BUFF_PROVOKE,BUFF_REGEN,BUFF_SHIELD,BUFF_SILENCE,BUFF_SLOW,BUFF_SPEED_UP,BUFF_STUN
Alpha l'arme ultime,epic,water,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,
"Alpha, L'Arme des Abysses",legendary,plant,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,
"Alpha, L'Arme Incandescante",mythic,fire,X,,X,,,,,,,,,,,,X,,X,,,,,,,,,,,X,,
"Andross, L'Herboriste",mythic,plant,,,,,,,,,,,,,,,X,,,,,,X,X,,,X,,,,,
"Andross, Le Braisiériste",epic,fire,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,
"Andross, Le Maréiste",legendary,water,,,,,,,,,,,,,,,,,,X,,,X,,,,,X,,,,
"Arkana, Le Druide Calciné",rare,fire,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,
"Arkana, Le Druide Enraciné",common,plant,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,
"Arkana, Le Druide Submergé",uncommon,water,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
"Asman, La Reine des Mers",mythic,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X
"Asman, La Reine Sylvestre",epic,plant,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,
"Asman, La Reine Volcanique",legendary,fire,,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,,,
"Aurel, L'Insaisissable",common,water,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
"Aurel, Le Discret",common,plant,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Aurel, Le Fourbe",uncommon,fire,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,
"Banga, Le Rempart Abyssal",legendary,water,X,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,
"Banga, Le Rempart Infernal",mythic,fire,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X
"Banga, Le Rempart Sylvestre",epic,plant,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilvoc Le Bleu,rare,water,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
Bilvoc Le Rouge,common,fire,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Bilvoc Le Vert,uncommon,plant,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Björn, Le Goliath Ancestral",uncommon,plant,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
"Björn, Le Goliath des Profondeurs",uncommon,water,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
"Björn, Le Goliath du Volcan",common,fire,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
Boss Chapitre 1,legendary,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
Boss Chapitre 10,legendary,fire,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Boss Chapitre 2,legendary,fire,X,,X,,,,,,,,,,,,X,,X,,,,,,,,,,,X,,
Boss Chapitre 3,legendary,fire,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
Boss Chapitre 4,legendary,water,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,
Boss Chapitre 5,legendary,water,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,
Boss Chapitre 6,legendary,water,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,
Boss Chapitre 7,legendary,plant,,,,,,,,,,,,,,,X,,,,,,X,X,,,X,,,,,
Boss Chapitre 8,legendary,plant,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,
Boss Chapitre 9,legendary,plant,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
"Cladie, La Cartomancienne Brûlante",uncommon,fire,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
"Cladie, La Cartomancienne Discrète",common,plant,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
"Cladie, La Cartomancienne Unique",rare,water,,,,,,X,,,,,,,,,X,,,X,,,,,,,,,,,,
"Crimness, Le Traqueur Cendré",epic,fire,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"Crimness, Le Traqueur des Océans",legendary,water,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"Crimness, Le Traqueur Verdoyant",rare,plant,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"Cuttie, L'Hydromancienne",uncommon,water,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
"Cuttie, La Pyromancienne",rare,fire,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuttie, La Sylvomancienne",common,plant,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DameSo, La Gardienne des Océans",rare,water,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,
"DameSo, La Gardienne des Plaines",common,plant,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
"DameSo, La Gardienne du Volcan",uncommon,fire,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Dango, Le Seigneur Aquatique",epic,water,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,
"Dango, Le Seigneur des Cerfs",rare,plant,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,
"Dango, Le Seigneur des Ours",rare,fire,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,
"Dolo, L'Épine Absolue",uncommon,plant,X,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,
"Dolo, La Flamme Absolue",common,fire,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
"Dolo, La Vague Absolue",rare,water,X,,,,,,,,,,,,,,,,,X,,,,,,,X,X,,,,
"Eggman, Le Penseur Discret",mythic,plant,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,
"Eggman, Le Penseur Malicieux",epic,fire,,X,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,
"Eggman, Le Penseur Subtil",legendary,water,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,X,
"Emo, La Duelliste Epineuse",uncommon,plant,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
"Emo, La Duelliste Explosive",rare,fire,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
"Emo, La Duelliste Glaciale",common,water,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flamingo, L'Ancestral",epic,plant,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flamingo, L'Incandescent",mythic,fire,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
"Flamingo, L'Océanique",legendary,water,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
"Francky, L'Ancien des Flammes",legendary,fire,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,
"Francky, L'Ancien des Profondeurs",epic,water,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
"Francky, L'Ancien Primordial",mythic,plant,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
"Hachi, La Huitième Gardienne",uncommon,fire,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
"Hachi, La Septième Gardienne",common,water,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
"Hachi, La Sixième Gardienne",common,plant,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
"Hixxy, Le Titan de la Forêt",legendary,plant,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,
"Hixxy, Le Titan des Récifs",epic,water,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,
"Hixxy, Le Titan Volcanique",epic,fire,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,
"Hugo, L'Archonte de Feu",common,fire,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
"Hugo, L'Archonte de l'Eau",uncommon,water,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
"Hugo, L'Archonte des Plantes",uncommon,plant,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
"Isaki, Le Protecteur des Bois",rare,plant,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
"Isaki, Le Protecteur des Mers",uncommon,water,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Isaki, Le Protecteur du Feu",common,fire,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"JB, Le Dévastateur des Profondeurs",rare,water,,,,,,,,,,,,,,,,,,X,,,,,,,X,X,,,,
"JB, Le Dévastateur Magmatique",uncommon,fire,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
"JB, Le Dévastateur Sylvestre",common,plant,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,
"Jeffrey, Le Prince Destructeur",common,fire,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Jeffrey, Le Prince Entraveur",uncommon,water,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Jeffrey, Le Prince Protecteur",uncommon,plant,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
"Kaleiya, La Déferlante",common,water,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
"Kaleiya, La Pyroclaste",uncommon,fire,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
"Kaleiya, La Roncière",common,plant,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
"Klinx, Le Héros Du Bois",epic,plant,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,
"Klinx, Le Héros du Feu",rare,fire,X,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,
"Klinx, Le Héros Océanique",rare,water,X,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,
"Leixya, La Chaman Abyssale",uncommon,water,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
"Leixya, La Chaman Brûlante",common,fire,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
"Leixya, La Chaman Naturelle",uncommon,plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
"Leno, L'Eternelle",mythic,water,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,
"Leno, La Braise Eternelle",epic,fire,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,
"Leno, La Vie Eternelle",legendary,plant,,,,,,,X,,,,,,,,X,,,X,,,,X,,,,,,,,
"Luna, La Druidesse des Ronces",uncommon,plant,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
"Luna, La Druidesse Magmatique",common,fire,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
"Luna, La Druidesse Marine",uncommon,water,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
"Lyly, La Danseflamme",rare,fire,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,
"Lyly, La Danseuse Aquatique",uncommon,water,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,
"Lyly, La Danseuse Originelle",common,plant,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Matthieu, Le Veilleur de l'Eau",common,water,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
"Matthieu, Le Veilleur de Lave",uncommon,fire,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
"Matthieu, Le Veilleur Naturel",common,plant,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
"Matux, L'Oracle des Flammes",legendary,fire,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,
"Matux, L'Oracle des flots",mythic,water,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,
"Matux, L'Oracle des Ronces",epic,plant,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,
"Melyre, Le Colosse Ardent",rare,fire,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
"Melyre, Le Colosse des Océans",common,water,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
"Melyre, Le Colosse Indomptable",uncommon,plant,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minipoucce, L'Indomptable",legendary,plant,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,X,
"Minipoucce, Le Chevaucheur",epic,fire,X,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,X,
"Minipoucce, Le Surfeur",epic,water,X,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
"Mymy, L'Aube Des Brumes",uncommon,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
"Mymy, L'Aube Flamboyante",common,fire,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,
"Mymy, L'Aube Naturelle",rare,plant,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,
"Nanny, L'Impératrice des Profondeurs",rare,water,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
"Nanny, L'Impératrice des Surfaces",uncommon,plant,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
"Nanny, L'Impératrice du Brasier",common,fire,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
"Nashi, La Lame des Abysses",epic,water,X,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,
"Nashi, La Lame Incandescante",legendary,fire,X,,,,,,,,,,,,,,X,,X,,,,,,X,,,,,,,
"Nashi, La Lame Naturelle",epic,plant,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
"Noa, Mur Magmatique",common,fire,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
"Noa, Mur Naturel",common,plant,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
